generated_at: 2026-08-02T16:33:20
mode: apply
date_from: 
date_to: 
selected_rows: 816499
candidates: 2872003
warnings: 1

status     | code     | company                | period_end | kind     | segment                  | metric           | value_kind         | value            | source_tag                       | reason                      
selected   | 9743     | 丹青社                 | 2016-01-31 | business | チェーン ストア事業      | SegmentProfit    | segment_profit     |      347,933,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 9743     | 丹青社                 | 2016-01-31 | business | 文化施設 事業            | SegmentProfit    | segment_profit     |      355,282,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 9743     | 丹青社                 | 2016-01-31 | total    | 合計                     | SegmentProfit    | segment_profit     |    2,154,827,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 9743     | 丹青社                 | 2016-01-31 | business | その他 (注)１            | SegmentProfit    | segment_profit     |      598,075,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 9743     | 丹青社                 | 2016-01-31 | business | 連結 財務諸表 計上額 (注)３ | SegmentProfit    | segment_profit     |    2,749,709,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
excluded   | 9743     | 丹青社                 | 2015-01-31 | business | E00208-000Commercial And Other Facility Market | OperatingIncome  | operating_profit   |    1,451,611,000 | OperatingIncome                  | period_end_mismatch         
excluded   | 9743     | 丹青社                 | 2015-01-31 | business | E00208-000Chain Store Market | OperatingIncome  | operating_profit   |      347,933,000 | OperatingIncome                  | period_end_mismatch         
excluded   | 9743     | 丹青社                 | 2015-01-31 | business | E00208-000Cultural Facility Market | OperatingIncome  | operating_profit   |      355,282,000 | OperatingIncome                  | period_end_mismatch         
excluded   | 9743     | 丹青社                 | 2015-01-31 | total    | 合計                     | OperatingIncome  | operating_profit   |    2,154,827,000 | OperatingIncome                  | period_end_mismatch         
excluded   | 9743     | 丹青社                 | 2015-01-31 | business | その他                   | OperatingIncome  | operating_profit   |      598,075,000 | OperatingIncome                  | period_end_mismatch         
excluded   | 9743     | 丹青社                 | 2015-01-31 | total    | 合計                     | OperatingIncome  | operating_profit   |    2,752,902,000 | OperatingIncome                  | period_end_mismatch         
excluded   | 9743     | 丹青社                 | 2015-01-31 | excluded | Reconciling Items        |                  |                    |       -3,193,000 | OperatingIncome                  | excluded_adjustment_or_elimination_member
selected   | 9743     | 丹青社                 | 2016-01-31 | business | E00208-000Commercial And Other Facility Market | OperatingIncome  | operating_profit   |    2,241,974,000 | OperatingIncome                  | selected                    
selected   | 9743     | 丹青社                 | 2016-01-31 | business | E00208-000Chain Store Market | OperatingIncome  | operating_profit   |      623,569,000 | OperatingIncome                  | selected                    
selected   | 9743     | 丹青社                 | 2016-01-31 | business | E00208-000Cultural Facility Market | OperatingIncome  | operating_profit   |      110,253,000 | OperatingIncome                  | selected                    
selected   | 9743     | 丹青社                 | 2016-01-31 | total    | 合計                     | OperatingIncome  | operating_profit   |    2,975,798,000 | OperatingIncome                  | selected                    
selected   | 9743     | 丹青社                 | 2016-01-31 | business | その他                   | OperatingIncome  | operating_profit   |      232,453,000 | OperatingIncome                  | selected                    
excluded   | 9743     | 丹青社                 | 2016-01-31 | total    | 合計                     | OperatingIncome  | operating_profit   |    2,975,798,000 | OperatingIncome                  | lower_priority_duplicate    
selected   | 9743     | 丹青社                 | 2016-01-31 | total    | 合計                     | OperatingIncome  | operating_profit   |    3,208,251,000 | OperatingIncome                  | selected                    
excluded   | 9743     | 丹青社                 | 2016-01-31 | excluded | Reconciling Items        |                  |                    |       10,550,000 | OperatingIncome                  | excluded_adjustment_or_elimination_member
excluded   | 9743     | 丹青社                 | 2015-01-31 | business | E00208-000Commercial And Other Facility Market | NetSales         | external           |   37,276,115,000 | RevenuesFromExternalCustomers    | period_end_mismatch         
